회사명,종목코드,이벤트시작일,시장,match_status,기사수,키워드종류,대표제목,baseline_stock,baseline_index,price_30d,return_30d,excess_30d,price_60d,return_60d,excess_60d,price_90d,return_90d,excess_90d,price_180d,return_180d,excess_180d,price_365d,return_365d,excess_365d,min_price_1y,min_return_1y,min_days_1y,min_excess_1y,max_price_1y,max_return_1y,max_days_1y,max_excess_1y,상장폐지일,상장폐지사유,is_bankrupt_delist
두산건설,011160,2019-02-27,KOSPI,delisted_exact,1,희망퇴직,"[단독] 두산건설, 희망퇴직 실시 과장급 이상 대상",1455.2833333333333,2118.9641666666666,1315.0,-0.09639589083454536,-0.10663949649564486,1275.0,-0.12388194738710678,-0.1698788711985445,1130.0,-0.2235189023901416,-0.19042057643921506,1265.0,-0.13075346152524703,-0.03511514453310027,1255.0,-0.13762497566338738,-0.10738653762152961,1090.0,-0.251004958942703,96.0,-0.22688271682519034,1595.0,0.09600650503338404,275.0,0.11063826103680863,2020-03-24,지주회사(최대주주등)의 완전자회사화 등,False
두산건설,011160,2019-04-25,KOSPI,delisted_exact,1,희망퇴직,"두산건설, 희망퇴직 영향 1분기 영업익 71억 전년동기 50.6%↓",1403.9333333333334,2193.9655,1140.0,-0.1879956313215253,-0.11973772115839842,1490.0,0.061303955553445144,0.0921319243615234,1400.0,-0.0028016525001187675,0.048095000159186774,1300.0,-0.07403010589296743,-0.02612347290352446,,,,1090.0,-0.22360985801794964,39.0,-0.16612695776268127,1595.0,0.13609383161593613,218.0,0.18441068071862243,2020-03-24,지주회사(최대주주등)의 완전자회사화 등,False
두산그룹,000150,2015-02-03,KOSPI,current_exact,2,구조조정,구조조정 수위 높이는 두산그룹 ‘예방주사’로 면역력 강화나선 듯,86526.23333333334,1940.7886666666666,96104.0,0.11069205601229992,0.08101786514212783,83894.0,-0.030421217149172897,-0.08485338441588208,96892.0,0.11979912065204101,0.02115812144312823,79561.0,-0.08049851547912068,-0.11538192885437049,57032.0,-0.3408704181044131,-0.3150465519991219,55299.0,-0.3608990259986663,351.0,-0.31177535359469866,99649.0,0.1516622897025064,83.0,0.03998020032509508,,,False
두산그룹,000150,2016-08-25,KOSPI,current_exact,1,구조조정,"김앤장, 공작기계 DST KAI지분 매각 두산그룹 구조조정 특급 도우미",80678.58333333333,2002.874,83500.0,0.03497107348811079,0.012884811446664424,81925.0,0.015449164018125572,-0.006951646017852697,85863.0,0.06426013512466655,0.0717114276173545,82318.0,0.02032034523825521,-0.029635867683775796,100042.0,0.24000689980715673,0.05245840699133297,73575.0,-0.08804794333068555,202.0,-0.15301758195997528,105163.0,0.3034809940267089,350.0,0.1254388406011815,,,False
두산그룹,000150,2020-04-01,KOSPI,current_exact,4,구조조정,"두산그룹, IMF급 구조조정 검토",55960.0,2039.4685,38500.0,-0.3120085775553967,-0.2413536495680313,37800.0,-0.3245175125089349,-0.337075441204573,38000.0,-0.32094353109363827,-0.3547079653077484,46700.0,-0.16547533952823446,-0.2971819581889297,49350.0,-0.118120085775554,-0.6319458693069007,35000.0,-0.3745532523230879,0.0,-0.20097444980664803,59000.0,0.054324517512508885,289.0,-0.4587657802783127,,,False
두산그룹,000150,2020-05-16,KOSPI,current_exact,1,구조조정,"[현장클릭]두산그룹, 구조조정 암초에 배당도 좌초",42858.333333333336,1878.7978333333333,40000.0,-0.06669259187244803,-0.14760718734914768,38850.0,-0.09352517985611519,-0.26548735744360985,45900.0,0.07097025082636588,-0.21042892756669684,48850.0,0.13980167217577288,-0.17786005601974786,69500.0,0.6216216216216215,-0.04674308712342978,35250.0,-0.17752284658759487,2.0,-0.20855980310952682,71000.0,0.6566206494264046,360.0,-0.051615299678284376,,,False
두산그룹,000150,2020-12-28,KOSPI,current_exact,1,구조조정,"[C를 찾아서] 두산① 김민철 CFO, ‘난제’ 두산그룹 구조조정 이끈다",49773.333333333336,2523.182999999999,56500.0,0.13514599517814085,-0.10240197498494319,46650.0,-0.06275113849450853,-0.2568579472356902,50200.0,0.00857219394588804,-0.1946857544470748,93700.0,0.882534154835253,0.5739132581345376,119500.0,1.4008840075006694,1.2038879909612425,46650.0,-0.06275113849450853,60.0,-0.2568579472356902,145500.0,1.9232520760782212,324.0,1.7491715595243282,,,False
두산그룹,000150,2021-05-09,KOSPI,current_exact,1,구조조정,"혹독한 구조조정 성공한 두산그룹, 수소 엔진 달고 '질주'",51619.166666666664,3101.2938333333336,99000.0,0.9178922557835429,0.8706422451293876,99500.0,0.9275785803077023,0.8787647062272985,95000.0,0.8404016595902686,0.7890920529492125,133500.0,1.5862486479505353,1.628819213794479,86300.0,0.6718596128698966,0.8300141959866314,67200.0,0.301842016047011,3.0,0.282377183009316,145500.0,1.8187204365303589,192.0,1.8634997579350867,,,False
두산그룹,000150,2021-06-15,KOSPI,current_exact,1,구조조정,두산그룹 구조조정 근원  두산중공업은 아직 반등 못했다,65455.833333333336,3158.589166666667,115000.0,0.7569098756158732,0.7165023307916678,88900.0,0.3581677212369663,0.3630747116205949,90000.0,0.37497294613416177,0.3847017095298446,115500.0,0.7645486142055076,0.8142319248186058,72300.0,0.10456160006110982,0.32972832138473884,72300.0,0.10456160006110982,365.0,0.32972832138473884,145500.0,1.2228729295835614,155.0,1.2849795082854978,,,False
두산그룹,000150,2021-12-09,KOSPI,current_exact,2,구조조정,"구조조정 1년 반 두산그룹, 재무개선 약정 조기졸업 머지않았다",109698.33333333333,3005.949,115000.0,0.04832950971603944,0.07468690965862002,96200.0,-0.12304957535058259,-0.036258681692706074,114500.0,0.04377155532596966,0.15209974053470066,83600.0,-0.23791002598033995,-0.11162411760331825,84000.0,-0.23426366246828423,-0.029034298962782312,61400.0,-0.4402832008994363,196.0,-0.21019646290088745,127500.0,0.16227836946778296,95.0,0.28214034982739655,,,False
두산그룹,000150,2022-02-27,KOSPI,current_exact,1,구조조정,"두산그룹, 구조조정 조기 졸업 가스터빈 SMR 로봇투자 확대",107371.66666666667,2870.5001666666667,104000.0,-0.0314018285394968,0.013687932530597746,89100.0,-0.17017214348912657,-0.09944921895350112,84000.0,-0.21767070766651664,-0.14770374894660476,85400.0,-0.20463188612762528,-0.06895164085561967,100000.0,-0.06865560436490081,0.09433347053557684,61400.0,-0.428154541080049,116.0,-0.23439730910868706,127500.0,0.1874641044347516,15.0,0.26579545911562286,,,False
두산그룹,000150,2022-08-16,KOSPI,current_exact,1,구조조정,뼈깎는 구조조정 통했다 두산그룹株 '웃음',72406.66666666667,2461.2035000000005,80400.0,0.11039499125310748,0.13451875834510152,79900.0,0.10348954976521485,0.20160963613759342,91200.0,0.2595525273915844,0.2540891433195238,87400.0,0.20707117208360182,0.21052618911084098,106900.0,0.4763833901114076,0.45020249933988077,71300.0,-0.015284043826535365,29.0,0.0049432555414365975,116300.0,0.606205690083786,350.0,0.5225610422519429,,,False
두산밥캣,241560,2021-12-07,KOSPI,current_exact,1,구조조정,"두산밥캣, 두산 구조조정 마무리 기대감에 ‘강세’",40045.833333333336,3011.8971666666666,43100.0,0.07626677765060852,0.10660219802214277,38350.0,-0.042347310373530345,0.046247071141155116,38050.0,-0.04983872645926546,0.06988221576192477,37050.0,-0.07481011341171584,0.05320128449844963,34600.0,-0.13599001144521905,0.07287740063940118,28200.0,-0.29580688794090104,295.0,-0.01604728127438304,43500.0,0.08625533243158867,129.0,0.19111852967554066,,,False
두산인프라코어,042670,2014-07-28,KOSPI,delisted_exact,1,구조조정,"두산인프라코어, 구조조정 효과 발현..목표가 상향-대우",10825.0,1998.772666666667,9944.0,-0.08138568129330259,-0.11948772991714118,9901.0,-0.08535796766743653,-0.10180172532004916,9182.0,-0.1517782909930716,-0.11835644778862497,8548.0,-0.21034642032332562,-0.17878071616954316,6863.0,-0.36600461893764435,-0.3861806669724549,6449.0,-0.4042494226327945,361.0,-0.4278575768367575,11637.0,0.07501154734411086,0.0,0.0499775181281823,2026-01-26,해산 사유 발생,True
두산인프라코어,042670,2015-01-27,KOSPI,delisted_exact,1,희망퇴직,"[단독] 두산인프라코어, 사무직 희망퇴직 실시 그룹 전계열사로 번지나",8457.35,1940.3888333333334,11002.0,0.30088029938455896,0.27372534685056094,9986.0,0.18074810667644114,0.13454542547843729,10367.0,0.22579767894198532,0.1138865181806501,7143.0,-0.15540920028141203,-0.2061315941521249,3305.0,-0.6092156526571562,-0.5873031201776264,2886.0,-0.6587583581145394,358.0,-0.6098306217235601,11299.0,0.3359976824891957,34.0,0.30692043482758025,2026-01-26,해산 사유 발생,True
