회사명,이벤트시작일,이벤트종료일(마지막보도),기사수,언론사수,키워드종류,대표제목
대우조선해양,2018-11-15,2018-11-16,2,2,"구조조정,인력감축","대우조선해양, 연내 구조조정 계획안 다시 짠다"
대우조선해양,2020-01-07,2020-01-08,6,6,희망퇴직,“올해도 어렵다” 대우조선해양 희망퇴직 실시
대우조선해양,2021-01-08,2021-01-13,4,4,희망퇴직,"대우조선해양, 경영난 대비 희망퇴직 시행"
대우조선해양건설,2016-07-20,2016-07-20,1,1,구조조정,"구조조정 대상 대우조선해양건설, 하도급대금 미지급 등 ‘갑질’ 행위 적발 공정위, ‘경고’ 처분"
대우증권,2010-11-12,2010-11-12,1,1,희망퇴직,대우증권도 희망퇴직 실시
대우증권,2012-07-18,2012-07-18,1,1,구조조정,"[증권가 구조조정 바람 부나│②빅5, 약점이 많다]대우증권, ‘중국고섬’ 사태로 실적 평판 하락"
대우증권,2013-01-28,2013-01-28,4,4,희망퇴직,"KDB대우증권, 희망퇴직 실시"
대우증권,2015-05-29,2015-06-30,3,3,희망퇴직,"KDB대우증권, 2년 만에 희망퇴직"
대우증권,2015-12-01,2015-12-01,1,1,구조조정,"KDB대우증권 직원들, 매각 후 구조조정 반대 집단 행동?"
대우증권,2016-04-04,2016-04-04,1,1,구조조정,"박현주 회장 ""조직 더 확장해야 대우증권 구조조정 없다""(2보)"
대우증권직원들,2015-12-01,2015-12-01,2,1,구조조정,"대우증권직원들, 구조조정에 대비중"
대우차판매,2010-05-03,2010-05-04,3,3,"구조조정,인력감축","대우차판매, 인력감축 등 조직개편 단행"
대우차판매,2011-01-16,2011-01-23,2,2,"구조조정,희망퇴직","대우차판매, 희망퇴직 접수..노사 충돌 불가피"
대원제약,2024-02-21,2024-02-21,1,1,구조조정,"""대원제약, 호흡기 제품 10% 안팎 성장 기대 자회사 구조조정 관건"""
대학가,2011-10-18,2011-10-18,1,1,구조조정,"대학가, 잇따른 폐과 구조조정 '몸살'"
대학가,2014-03-29,2014-03-29,1,1,"구조조정,인력감축","대학가, 인력감축 학과 통폐합 학내 구조조정 '몸살'"
대학구조개력위,2011-07-05,2011-07-05,1,1,구조조정,"대학구조개력위, 대학 구조조정 기본원칙 ・ 핵심과제 선정 착수"
대학구조개혁위,2011-08-10,2011-08-10,1,1,구조조정,"대학구조개혁위, 구조조정 대학 선정 10대 평가지표 확정"
대학생들,2015-04-03,2015-04-03,1,1,구조조정,"대학생들, '대학 구조조정 반대'...도심 행진"
대학생들,2016-04-02,2016-04-02,1,1,구조조정,"대학생들, 구조조정 중단 일자리 해결 등 총선 10대 요구안 제시"
대한건설협회,2010-06-22,2010-06-22,1,1,구조조정,"대한건설협회, ""건설업계 구조조정 선별적으로"" 건의"
대한유화,2025-08-25,2025-08-26,2,1,구조조정,"[리포트 브리핑]대한유화, '저유가 & 구조조정의 최대 수혜' 목표가 145,000원 - DB증권"
대한전선,2010-03-11,2010-03-11,1,1,구조조정,"대한전선, 구조조정 지속 주목-유진證"
대한전선,2010-07-30,2010-07-30,1,1,구조조정,손관호號 대한전선 구조조정 가속도
대한전선,2011-01-17,2011-02-15,3,3,구조조정,대한전선 구조조정 박차 올 영업이익 목표 1천억
대한전선,2011-04-20,2011-05-03,2,2,구조조정,"[특징주]대한전선, 비주력 부문 구조조정 효과..↑"
대한전선,2011-10-30,2011-10-30,1,1,구조조정,"대한전선, 사업 구조조정 막바지"
대한전선,2013-10-08,2013-10-08,1,1,구조조정,대한전선 구조조정 ‘급물살’ 탄다
대한조선,2022-05-20,2022-05-20,1,1,구조조정,"대한조선, KHI그룹 품으로 중소형 조선사 구조조정 마무리"
대한항공,2011-10-18,2011-11-14,11,9,"구조조정,희망퇴직","대한항공, 5년만에 희망퇴직 받는다"
대한항공,2012-06-11,2012-06-12,5,3,희망퇴직,"대한항공, 8개월만에 희망퇴직"
대한항공,2013-06-23,2013-06-23,1,1,희망퇴직,"대한항공, 3년 연속 희망퇴직 실시"
대한항공,2013-11-29,2013-12-02,12,9,희망퇴직,대한항공 또 희망퇴직
대한항공,2014-01-10,2014-01-10,1,1,구조조정,"대한항공, 구조조정 본격화 3조5천억 '현금'확보"
대한항공,2014-09-29,2014-09-29,2,2,구조조정,"대한항공, 체코항공 구조조정은 긍정적으로 작용할 것-이트레이드"
대한항공,2016-06-09,2016-06-09,2,2,구조조정,"대한항공, 노선 구조조정 나선다"
대한항공,2019-10-10,2019-10-10,1,1,구조조정,"대한항공, 아시아나 구조조정 시 최대 수혜-미래"
대한항공,2019-12-11,2019-12-12,12,12,"구조조정,희망퇴직","대한항공, 임원 감축 이어 6년 만에 희망퇴직 실시 구조조정 본격화"
대한항공,2020-09-01,2020-09-29,6,5,구조조정,"대한항공, 항공운송업계 구조조정에 수혜 예상-하이"
대한항공,2020-11-16,2020-12-09,2,2,구조조정,"대한항공, 아시아나 자회사 운영 뒤 통합 ""인위 구조조정 없다""(종합)"
대한항공,2021-03-31,2021-03-31,1,1,구조조정,"대한항공, 아시아나 통합 일정 공개 “인력 구조조정 없다”"
대한항공,2024-07-11,2024-07-11,1,1,구조조정,"대한항공, 아시아나노조 집단행동 우려 ""인위적 구조조정 없을 것"""
대한항공,2026-05-14,2026-05-14,1,1,구조조정,"대한항공, 초대형 항공사 탄생 LCC 구조조정 신호탄?"
대형조선사,2016-06-12,2016-06-12,1,1,"구조조정,인력감축","대형조선사, 인력감축 구조조정에 노사간 대립 격화될 듯"
더블유아이,2019-04-15,2019-04-15,1,1,구조조정,"[공시+]더블유아이, 한국피엠지제약 보유지분 매각 ""사업 구조조정 위해"""
데브시스터즈,2023-11-07,2023-11-07,5,5,"구조조정,희망퇴직","6분기 연속 적자 빠진 데브시스터즈, 결국 희망퇴직 돌입"
데브시스터즈,2026-05-11,2026-05-11,5,5,희망퇴직,"‘한국의 포켓몬’된다더니 경영난 데브시스터즈, 임원 무보수에 희망퇴직까지"
델코리아,2014-01-14,2014-01-14,1,1,구조조정,"델코리아, IT솔루션 회사 변신 본격화 ""韓지역 구조조정은 없다"""
델타,2010-09-02,2010-09-02,1,1,구조조정,"델타, 저가항공 콤에어 구조조정"
도개공,2011-05-23,2011-05-23,1,1,구조조정,"도개공, 구조조정 시급하다"
도레이케미칼,2015-03-18,2015-03-18,1,1,구조조정,"[종목이슈] 도레이케미칼, 구조조정 끝 ""좋아질 일만 남았다"""
도이치운용,2012-11-13,2012-11-13,1,1,구조조정,"[더벨]도이치운용, 리테일부문 구조조정"
도이치증권,2019-07-23,2019-07-23,1,1,구조조정,"도이치증권, 국내 주식시장 철수 글로벌 구조조정 일환"
독신자라면,2024-03-22,2024-03-22,1,1,구조조정,"독신자라면, 종신보험 구조조정 1순위 독거노인 세입자 받기 꺼려, 내집 마련을"
동강시스타,2015-08-03,2015-08-03,1,1,구조조정,"[영월]동강시스타, 용역 직원도 구조조정"
동국제강,2012-06-14,2012-06-14,1,1,구조조정,"동국제강, 철근 생산라인 구조조정"
동국제강,2014-06-09,2014-06-09,1,1,구조조정,"동국제강, 신사옥 `페럼타워` 매각 등 구조조정 나설듯"
동국제강,2015-04-25,2015-04-25,1,1,구조조정,"동국제강, 업황 부진에 총수 검찰수사 '위기 돌파' 선제 구조조정"
동국제강,2015-06-03,2015-06-03,1,1,구조조정,"동국제강, 후판사업 구조조정 고민"
동국제강,2015-08-17,2015-08-17,1,1,구조조정,"동국제강, 구조조정 결실 2분기 영업익 흑자전환"
동국제강,2015-12-28,2015-12-28,1,1,구조조정,"동국제강, 제품판매 호조에도 구조조정 박차"
동국제강,2016-06-08,2016-06-08,1,1,구조조정,"동국제강, 선제적 구조조정 통해 2년만에 재무구조개선약정 종료"
동국제강,2016-11-18,2016-11-22,2,2,구조조정,"구조조정 눈치 보는 동국제강, ‘성의 표현’ 방식은?"
동국제강,2017-01-04,2017-01-04,1,1,구조조정,"동국제강, 신용등급 ‘BB+’로 상향 조정 선제적 구조조정 효과 반영"
동국제강,2017-11-23,2017-11-23,1,1,구조조정,'형의 빈자리'... 장세욱 동국제강 부회장 '위기속 구조조정 성과'
동국제강,2021-11-16,2021-11-16,1,1,구조조정,"[단독]동국제강, 中법인 철강 판매 중단 사업 구조조정"
동국제강,2025-07-25,2025-07-27,3,3,구조조정,"동국제강, 페럼타워 재매입 10년 구조조정 마무리"
동부,2014-08-29,2014-09-12,3,2,구조조정,"동부, 또 구조조정 공포"
동부,2015-03-31,2015-03-31,1,1,구조조정,"동부, 동부팜한농 매각 돌입 비금융 구조조정 마무리"
동부,2015-09-24,2015-09-24,1,1,구조조정,"동부, 구조조정 후 첫 회사채 발행"
동부-채권단,2014-04-07,2014-04-07,1,1,구조조정,"동부-채권단, 구조조정 속도에 온도차 이유는?"
동부CNI,2015-02-23,2015-02-23,1,1,구조조정,"[특징주]동부CNI, 구조조정 속도내며 '강세'"
동부건설,2014-08-29,2014-08-29,1,1,구조조정,"동부건설, 워크아웃 신청하나? 구조조정 추진설"
동부건설,2015-01-02,2015-01-02,1,1,구조조정,"동부건설, 워크아웃 등 구조조정 돌입 이유보니"
동부건설,2016-03-29,2016-03-29,1,1,구조조정,"[단독] 동부건설, 70명 명예퇴직..기업매각 앞두고 구조조정"
동부그룹,2013-11-17,2013-11-17,2,2,구조조정,"동부그룹, 3조원 규모 고강도 구조조정 나선다(상보)"
동부그룹,2014-04-30,2014-04-30,1,1,구조조정,"""동부그룹 구조조정, 일보 진전"""
동부그룹,2014-06-19,2014-06-24,5,5,구조조정,당국 산은 “제2의 STX 막는다” 동부그룹 구조조정 압박
동부그룹,2015-01-29,2015-01-29,1,1,구조조정,"동부그룹, 남은 구조조정 계획 ‘인천스틸 재매각’ 없어"
동부그룹,2015-03-03,2015-03-31,2,2,구조조정,"동부그룹, 1년여 구조조정 '끝이 보인다'"
동부그룹,2016-05-16,2016-05-16,1,1,구조조정,"동부그룹, 2년여 구조조정 마무리 수순"
동부그룹주,2013-11-18,2013-11-18,1,1,구조조정,"[Hot-Line] 동부그룹주, 구조조정 기대로 동반 상한가"
동부대우전자,2015-10-08,2015-10-08,2,2,"구조조정,희망퇴직","동부대우전자, 임원 줄이기 나서 간부급 희망퇴직도 실시"
동부제철,2014-06-28,2014-07-06,3,2,구조조정,"동부제철, 워크아웃 구조조정 급선회 신보, 차환발행 '난색'"
동부제철,2014-09-11,2014-09-11,1,1,구조조정,"동부제철, 존속>청산가치..실사 마무리, 구조조정 본격화"
동부증권,2015-10-13,2015-10-13,1,1,구조조정,"동부증권 ""두산인프라코어, 구조조정 비용 발생으로 분기 실적 악화"""
동부화재,2013-11-18,2013-11-18,2,2,구조조정,"동부화재, 그룹 구조조정 계획발표로 만성부담 축소-하나"
동부화재,2014-06-25,2014-06-25,2,2,구조조정,"동부화재, 계열사 구조조정 불확실성 다소 해소-NH농협證"
동부화재,2014-08-27,2014-08-27,1,1,구조조정,"동부화재, 그룹 구조조정 순항에 '안도'..금융 수직계열화 가속"
동아원,2015-04-01,2015-04-01,3,2,구조조정,"동아원, '자산매각' 구조조정 속도낸다"
동아원그룹,2015-04-01,2015-04-01,1,1,구조조정,"동아원그룹, 운산빌딩 매각..사업 구조조정 박차"
동양,2012-12-12,2012-12-12,2,1,구조조정,"동양, 강도 높은 구조조정 통해 에너지기업 도약 꿈꾼다"
동양,2013-03-06,2013-03-06,1,1,구조조정,"동양, 고강도 구조조정 3개월 성과는?"
동양,2013-07-19,2013-08-22,5,3,구조조정,"[현장에서]동양, 구조조정 명단서 빠진 이유"
동양,2013-10-04,2013-10-04,1,1,구조조정,"[기업 구조조정 본격화③] 동양, 또다른 반면교사"
동양그룹,2010-11-16,2010-11-16,1,1,구조조정,"동양그룹, 동양생명 지분 매각 고강도 구조조정 나서"
동양그룹,2012-12-12,2012-12-13,2,2,구조조정,"동양그룹, 고강도 구조조정 착수"
동양그룹,2013-09-10,2013-09-23,2,2,구조조정,"동양그룹, 고강도 구조조정 9개월 ""5부 능선은 넘었는데"""
동양그룹주,2012-12-12,2012-12-13,3,1,구조조정,"[Hot-Line 코스피] 동양그룹주, 대규모 구조조정 실시 밝히자 상한가"
동양그룹주,2013-04-09,2013-04-09,1,1,구조조정,"[오늘의 상한가] 동양그룹주, 구조조정 탄력 기대감에 ‘훨훨’"
동양네트웍스,2013-01-09,2013-01-10,2,2,구조조정,"동양네트웍스, IT서비스 매각 등 다양한 구조조정 방안 검토 중"
동양네트웍스,2013-04-09,2013-04-09,1,1,구조조정,"[이유있는 상한가]동양네트웍스, 그룹 구조조정 기대감 上"
동양네트웍스,2014-03-16,2014-03-16,1,1,구조조정,"동양네트웍스, IT서비스 사업 매각 등 구조조정 본격화"
동양매직,2013-06-18,2013-06-18,1,1,구조조정,"동양매직, 교원 품으로 구조조정 숨통"
동양메이저,2010-11-15,2010-11-15,1,1,구조조정,"동양메이저, 비핵심자산 매각 등 구조조정 나서"
동양생명,2017-10-17,2017-10-17,1,1,희망퇴직,"[단독] 동양생명, 10년 만에 희망퇴직 실시 ""인력 선순환 차원"""
동양생명,2019-02-12,2019-02-12,1,1,희망퇴직,"동양생명, 희망퇴직 실시...신청자 10여명 그쳐"
동양증권,2013-12-10,2014-01-10,17,12,"구조조정,희망퇴직","동양증권, 임원 절반 이상 구조조정"
두산,2013-02-08,2013-02-08,1,1,구조조정,"두산, 구조조정 효과 반영..주가 긍정적-SK"
두산,2014-02-07,2014-02-07,1,1,구조조정,"두산, 실적 개선과 구조조정 효과 기대-KTB"
두산,2015-02-05,2015-02-05,1,1,희망퇴직,"두산, 중공업 이어 인프라코어도 희망퇴직 받는다"
두산,2015-12-16,2015-12-16,8,7,"구조조정,희망퇴직","두산, 20대 신입사원 포함 대규모 구조조정"
두산,2016-07-08,2016-07-19,3,3,구조조정,"두산, 구조조정 마무리 수순 ‘4세 경영’ 안착 과제로"
두산,2016-08-29,2016-08-29,1,1,구조조정,"두산, 구조조정 효과로 실적 개선 기대-하이투자"
두산,2017-02-16,2017-02-16,1,1,구조조정,"두산, 영업이익 7911억원 '흑자전환'..계열사 구조조정 효과"
두산,2018-08-06,2018-08-06,1,1,구조조정,"두산, 구조조정 성과 연료전지 굴삭기 기대"
두산,2020-02-20,2020-02-20,1,1,구조조정,두산중공업 대규모 구조조정 소식에 도내 대기업 협력업체 동요
두산,2020-07-09,2020-07-09,1,1,구조조정,"두산, 자구안 3조 중 2조 마련 인프라 매각으로 마침표 찍나 [기업 구조조정 속도내나]"
두산,2020-09-07,2020-09-09,2,2,구조조정,"두산, 구조조정 마무리단계 리스크 해소구간 진입-대신"
두산,2020-12-11,2020-12-11,1,1,구조조정,"두산, 9개월 만에 '3조 마련 완료' 모범적 구조조정 뒤엔 씁쓸함도 남았다"
두산,2021-04-30,2021-05-03,2,2,구조조정,"두산, 혹독한 구조조정 딛고 재기 더 굳어진 ‘박정원 체제’"
두산,2021-06-25,2021-06-25,1,1,구조조정,"두산, 구조조정 '마지막 단추' 지게차 분할 승인 재무개선 '청신호'"
