Code,ISU_CD,Name,Market,Dept,MarketId,Close,Marcap,Stocks,source
224760,KR7224760009,엔에스컴퍼니,KONEX,일반기업부,KNX,2585,10184124500,3939700,FinanceDataReader.StockListing(KRX)
093510,KR7093510006,엔지브이아이,KONEX,일반기업부,KNX,651,3919020000,6020000,FinanceDataReader.StockListing(KRX)
276240,KR7276240009,엘리비젼,KONEX,일반기업부,KNX,569,7006175522,12313138,FinanceDataReader.StockListing(KRX)
311060,KR7311060008,엘에이티,KONEX,일반기업부,KNX,3585,28221600390,7872134,FinanceDataReader.StockListing(KRX)
212310,KR7212310007,오건에코텍,KONEX,일반기업부,KNX,635,7514663025,11834115,FinanceDataReader.StockListing(KRX)
332190,KR7332190008,오션스바이오,KONEX,일반기업부,KNX,3500,5172436500,1477839,FinanceDataReader.StockListing(KRX)
122830,KR7122830003,원포유,KONEX,일반기업부,KNX,947,31016129795,32751985,FinanceDataReader.StockListing(KRX)
140660,KR7140660002,위월드,KONEX,일반기업부,KNX,683,1698793116,2487252,FinanceDataReader.StockListing(KRX)
121060,KR7121060008,유니포인트,KONEX,일반기업부,KNX,1086,5640448338,5193783,FinanceDataReader.StockListing(KRX)
495810,KR7495810004,유비씨,KONEX,일반기업부,KNX,13120,32800000000,2500000,FinanceDataReader.StockListing(KRX)
337840,KR7337840003,유엑스엔,KONEX,일반기업부,KNX,7030,34991107940,4977398,FinanceDataReader.StockListing(KRX)
279060,KR7279060008,이노벡스,KONEX,일반기업부,KNX,115,1127904590,9807866,FinanceDataReader.StockListing(KRX)
208850,KR7208850008,이비테크,KONEX,일반기업부,KNX,5300,14947325000,2820250,FinanceDataReader.StockListing(KRX)
379390,KR7379390008,이성씨엔아이,KONEX,일반기업부,KNX,5600,15912176000,2841460,FinanceDataReader.StockListing(KRX)
232530,KR7232530006,이엠티,KONEX,일반기업부,KNX,11250,288160920000,25614304,FinanceDataReader.StockListing(KRX)
216400,KR7216400002,인바이츠바이오코아,KONEX,일반기업부,KNX,849,6546906435,7711315,FinanceDataReader.StockListing(KRX)
311960,KR7311960009,인터로이드,KONEX,일반기업부,KNX,1598,4894137072,3062664,FinanceDataReader.StockListing(KRX)
066830,KR7066830001,제노텍,KONEX,일반기업부,KNX,1200,6800616000,5667180,FinanceDataReader.StockListing(KRX)
254160,KR7254160005,제이엠멀티,KONEX,일반기업부,KNX,3300,17028000000,5160000,FinanceDataReader.StockListing(KRX)
299480,KR7299480004,지앤이헬스케어,KONEX,일반기업부,KNX,219,2431062717,11100743,FinanceDataReader.StockListing(KRX)
