Code,Name,Market,SecuGroup,ListingDate,DelistingDate,Reason,Industry,ToSymbol,ToName,source
260490,캐로스,KONEX,주권,2016-12-23,2017-11-29,지정자문인 선임계약 해지 후 30일이내 미체결(2017.11.15限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
205290,케미메디,KONEX,주권,2017-01-13,2020-05-13,외부감사인의 감사의견 의견거절(감사범위 제한),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
327970,케어룸의료산업,KONEX,주권,2019-08-05,2022-03-11,상장폐지 신청,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
237720,케이엠제약,KONEX,주권,2016-02-24,2018-09-28,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
086460,큐러블,KONEX,주권,2013-07-01,2025-08-19,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
235090,태경피엔에스,KONEX,주권,2016-03-16,2018-05-09,감사의견 거절(감사범위 제한),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
151750,테라텍,KONEX,주권,2013-07-01,2016-02-23,상장폐지 신청('16.02.01),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
308700,테크엔,KONEX,주권,2018-12-21,2026-01-14,지정자문인 선임계약 해지 후 30일 이내 미체결(2025.5.15限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
228180,티씨엠생명과학,KONEX,주권,2015-10-22,2020-08-07,포괄적 주식교환에 따른 상장폐지 신청('20.7.17),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
309900,티티씨디펜스,KONEX,주권,2019-06-27,2022-06-16,외부감사인의 감사의견 의견거절,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
266870,파워풀엑스,KONEX,주권,2017-04-24,2025-12-29,지정자문인 선임계약 해지 후 30일 이내 미체결('25.12.12限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
187770,판타지오,KONEX,주권,2013-12-12,2014-11-10,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
256090,패션플랫폼,KONEX,주권,2016-12-20,2018-02-13,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
176560,포인트엔지니어링,KONEX,주권,2017-08-14,2019-07-16,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
354230,폭스소프트,KONEX,주권,2020-06-25,2021-09-01,지정자문인 선임계약 해지 후 30일 이내 미체결(2021.8.18 限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
139170,퓨얼셀,KONEX,주권,2013-07-01,2014-10-30,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
082220,프렉코,KONEX,주권,2014-04-11,2015-09-25,지정자문인 선임계약의 해지한 날의 다음날부터 30일이내(2015.09.11限) 지정자문인 선임계약 미체결,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
150440,피노텍,KONEX,주권,2014-12-05,2024-03-21,외부감사인의 감사의견 의견거절,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
242350,피엔아이컴퍼니,KONEX,주권,2016-12-22,2023-09-18,지정자문인 선임계약 해지 후 30일 이내 미체결(2023.9.4 限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
144740,피엠디아카데미,KONEX,주권,2013-07-01,2018-08-07,지정자문인 선임계약 해지 후 30일이내 미체결(2018.07.24限),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
179440,피엠에스,KONEX,주권,2014-02-28,2016-07-07,상장폐지 신청('16.6.14),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
226610,한국비엔씨,KONEX,주권,2015-12-18,2019-12-03,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
284420,휴럼,KONEX,주권,2017-12-12,2021-07-27,피흡수합병,-,,,FinanceDataReader.StockListing(KRX-DELISTING)
181980,힘스인터내셔널,KONEX,주권,2013-08-14,2015-04-15,상장폐지 신청('15.03.23),-,,,FinanceDataReader.StockListing(KRX-DELISTING)
